ParentLocation,Location,other_1,other_2,SDG1.a,SDG16.1,SDG3.1_1,SDG3.2_1,SDG3.2_2,SDG3.2_3,SDG3.3_1,SDG3.3_2,SDG3.3_3,SDG3.3_4,SDG3.3_5,SDG3.4_1,SDG3.4_2,SDG3.4_3,SDG3.4_4,SDG3.4_5,SDG3.4_6,SDG3.5,SDG3.6,SDG3.8_1,SDG3.8_2,SDG3.9_1,SDG3.9_3,SDG3.b_1,SDG3.b_2,SDG3.b_3,SDG3.b_4,SDG3.c_1,SDG3.c_2,SDG3.c_3,SDG3.c_4,SDG3.d_1,SDG3.7,SDG3.a,SDG3.1_2,SDG3.b_5
Eastern Mediterranean,Afghanistan,61.65,15.59,2.14,9.02,673,134.80205447830102,230.59499076638966,175.3404893813481,0.03,189,23.52,0.5,13275429,245.2,20.458217913204063,186.13227146814404,22.215489381348107,4.01,1159.64,0,14.81,48.57,37,0.98,13.92,5.82,40,66,62,2.78,1.48,0.034,0.47,42,97.20786117927707,14.358805716327618,66.57461483931976,68.86648154460929
Europe,Albania,77.84,21.13,9.62,3.78,16,7.552973342447027,11.312371838687628,10.047846889952153,0.04,17,-31.993667247572315,1.29,21,96.41,7.194121667805878,498.42788790157215,30.2323991797676,4.69,229.24,6.4,13.82,31.43,59,0.32,0.17,0.63,98,98,98,12.16,36.5,5.16354429959427,6.488551193115798,82.02703678947934,17.3,29.7,94.66753933832963,56.50276549990706
Africa,Algeria,76.54,21.81,10.73,1.66,113,37.99931044673201,61.628823326601974,53.23843766930996,0.05,70,0,0.22,10752,95.03,15.411515539575431,201.15746441412597,15.6627099443432,2.55,1447.79,0.6,21.05,35.71,78,0.71,1.87,0.02,96,91,61,18.33,22.43,4.2627421848588956,5.606084170646372,73,43.97764255123269,19.1,87.91191792214921,65.47075943129956
Africa,Angola,61.72,16.71,5.43,9.82,246,124.85336480061085,341.3389789331205,228.84114809287476,0.95,362,205.5,4.85,14419092,238,16.242668240030543,89.09172942768889,14.843994030472356,6.23,679.18,8.8,24.75,31.43,40,2.25,48.81,1.57,26,59,55,-5.914274138864215,-9.936513233507696,-1.0822422167010255,-0.7075023429806349,55.48743358334167,111.43513041230123,13.592515160361916,61.05840918257836,68.24041432869346
Americas,Antigua and Barbuda,76.14,20.43,11.61,2.42,43,5.9405940594059405,10.891089108910892,9.900990099009901,0.12309509898889698,3.7,-29.025189960627326,0.38,176,119.9,61.64356435643565,202.67326732673268,25.73267326732673,0.54,5.145,7.8,0,24.29,73,0.77,0.11,2.610625964085904,68,92,85.61068879187653,27.541210060195976,44.87,5.0426941218400865,6.333691975815221,81,31.1,23.60170615625578,94.2090914132015,55.9984579044052
Americas,Argentina,76.17,20.98,13.47,6.23,40,11.00645426140899,18.74016466348895,16.694414669190593,0.14,27,0,0.01,80002,111.4,23.080256345930167,229.4775013113782,86.8383241726914,8.27,2717.67,9.6,14.06,34.29,76,0.44,0.36,0.01,88,92,82,40.01,25.82,5.358117021398975,6.647961453436057,76,25.93559958496245,23.6,98.4,56
Europe,Armenia,74.51,19.42,6.05,3.8,26,10.837606837606838,20.068376068376068,17.88034188034188,0.06,44,0,0.25,39149,116.4,40.61538461538462,470.35897435897436,47.14529914529915,5.71,256.76,5,15.7,44.29,69,0.81,0.18,5.03,97,94,94,27.419268629332535,45.21,4.974501742951233,6.1820987884828895,81.64745852756766,24.5,27.5,94.7389734835877,52.70761393544027
Western Pacific,Australia,82.28,25.01,17.49,0.99,6,3.046505844317334,4.9282931277460005,4.169775346099644,0.04,6.5,-76.179092218402,0.15,20994,60.73,20.17325706706458,183.3416231451546,49.70156677443422,12.17,1432.85,10.8,5.57,54.29,87,0.15,0.095,0.6209423728190919,94,94,94,35.67,124.1,5.86,8.64,100,10.3,17.1,97,86
Europe,Austria,80.98,23.59,14.96,0.53,5,2.1694214876033056,3.535353535353535,2.9269972451790633,0.14307221497720551,8.1,-97.24609522940297,0.32,118,61.89,40.0137741046832,393.90495867768595,48.955463728191,15.53,761.14,12.1,5.17,41.43,79,0.13,0.12,1.7776449616069487,89,87,87.45804566684544,51.23,70.18,5.66,7.08,87,7.2,30.7,98.4,49.14107616829036
Europe,Azerbaijan,70.67,16.62,3.29,2.53,26,23.81491002570694,44.40102827763496,39.48586118251928,0.07,66,0,0.27,1719031,117.6,28.10282776349614,522.6940874035989,24.380462724935732,3.99,727.28,0.5,8.68,32.86,65,0.91,1.12,0.39,98,97,97,24.098419085532694,49.11970833246971,4.392851671508171,5.555443480888264,78.9680451607738,52.8,20.3,99.8,55.83687112607356
