IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2018,true,,,,,,,,,,,,,1.8,,,,,,1.8,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2018,true,,,,,,,,,,,,,10.08,,,,,,10.08,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AFR,Africa,Country,SYC,Seychelles,Year,2018,true,,,,,,,,,,,,,10.18,,,,,,10.18,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AMR,Americas,Country,BRA,Brazil,Year,2018,true,,,,,,,,,,,,,10.3,,,,,,10.3,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,EUR,Europe,Country,GEO,Georgia,Year,2018,true,,,,,,,,,,,,,10.32,,,,,,10.32,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AFR,Africa,Country,CPV,Cabo Verde,Year,2018,true,,,,,,,,,,,,,10.39,,,,,,10.39,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AMR,Americas,Country,MEX,Mexico,Year,2018,true,,,,,,,,,,,,,10.47,,,,,,10.47,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,EUR,Europe,Country,MNE,Montenegro,Year,2018,true,,,,,,,,,,,,,10.6,,,,,,10.6,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,EUR,Europe,Country,BLR,Belarus,Year,2018,true,,,,,,,,,,,,,10.61,,,,,,10.61,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AFR,Africa,Country,NAM,Namibia,Year,2018,true,,,,,,,,,,,,,10.65,,,,,,10.65,,,EN,2021-01-06T22:00:00.000Z
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),text,AMR,Americas,Country,GUY,Guyana,Year,2018,true,,,,,,,,,,,,,10.7,,,,,,10.7,,,EN,2021-01-06T22:00:00.000Z
