IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GMB,Gambia,Year,2019-2020,true,,,,,,,,,,,,,83.8,,,,,,83.8,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,LBR,Liberia,Year,2019-2020,true,,,,,,,,,,,,,84.4,,,,,,84.4,,Definition includes other cadres that is not in alignment with the standard definition,EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,WSM,Samoa,Year,2019-2020,true,,,,,,,,,,,,,88.9,,,,,,88.9,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,RWA,Rwanda,Year,2019-2020,true,,,,,,,,,,,,,94.3,,,,,,94.3,,Definition includes other cadres that is not in alignment with the standard definition,EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,HRV,Croatia,Year,2019,true,,,,,,,,,,,,,100,,,,,,100,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CUB,Cuba,Year,2019,true,,,,,,,,,,,,,100,,,,,,100,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,true,,,,,,,,,,,,,100,,,,,,100,,No / unclear definition of the cadres included,EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2019,true,,,,,,,,,,,,,100,,,,,,100,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,TKM,Turkmenistan,Year,2019,true,,,,,,,,,,,,,100,,,,,,100,,Definition includes other cadres that is not in alignment with the standard definition,EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,,,,,,,,,,,,,49.8,,,,,,49.8,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,,,,,,,,,,,,,59,,,,,,59,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SEN,Senegal,Year,2019,true,,,,,,,,,,,,,74.5,,,,,,74.5,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2019,true,,,,,,,,,,,,,81.1,,,,,,81.1,,Definition includes other cadres that is not in alignment with the standard definition,EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ZWE,Zimbabwe,Year,2019,true,,,,,,,,,,,,,86,,,,,,86,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,,,,,,,,,,,,,86.9,,,,,,86.9,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PER,Peru,Year,2019,true,,,,,,,,,,,,,94.4,,,,,,94.4,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,,,,,,,,,,,,,94.7,,,,,,94.7,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,STP,Sao Tome and Principe,Year,2019,true,,,,,,,,,,,,,96.8,,,,,,96.8,,"Cadres included align with the standard definition of: Doctor, nurse and/or midwife",EN,2021-03-09T22:00:00.000Z
