IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2020,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,25.3,,,,,,25.3,,"Population Size Estimates,Central Statistics Office, National Birth Register,Epidemiology unit,Min of Health",EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,10.1,,,,,,10.1,,Bosnia and Herzegovina 2019 Demographic Statistics Bulletin,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,11.7,,,,,,11.7,,Lebanon 2019 Vital Data Observatory (VDO) at the Ministry of Public Health,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,SRB,Serbia,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,12,,,,,,12,,Serbia 2019 Multiple Indicator Cluster Survey,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,13.3,,,,,,13.3,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,ALB,Albania,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,14.2,,,,,,14.2,,Registration National Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,DNK,Denmark,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,2,,,,,,2,,Estimate Human Fertility Database,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,2.1,,,,,,2.1,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,SEAR,South-East Asia,Country,THA,Thailand,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,23,,,,,,23,,Thailand 2019 Multiple Indicator Cluster Survey,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,23.2,,,,,,23.2,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AFR,Africa,Country,MUS,Mauritius,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,23.2,,,,,,23.2,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,false,Age Group,15-19 years,YEARS15-19,,,,,,,,,,28.5,,,,,,28.5,,"Population Size Estimates,Central Statistics Office, National Birth Register,Epidemiology unit,Min of Health",EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,GEO,Georgia,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,29.4,,,,,,29.4,,Registration National Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,WPR,Western Pacific,Country,MNG,Mongolia,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,30.5,,,,,,30.5,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,35,,,,,,35,,Viet Nam 2019 Census,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,37.7,,,,,,37.7,,Kyrgyzstan 2019 Women and men of the Kyrgyz Republic,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,CRI,Costa Rica,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,40.9,,,,,,40.9,,Registration National Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,48.1,,,,,,48.1,,Registration National Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,BRA,Brazil,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,49.1,,,,,,49.1,,Brazil 2019 Civil Registry Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,53.5,,,,,,53.5,,Dominican Republic 2019 Multiple Indicator Cluster Survey,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,COL,Colombia,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,57.9,,,,,,57.9,,Registration National Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,BLZ,Belize,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,58.2,,,,,,58.2,,Registration National Statistics,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AMR,Americas,Country,ECU,Ecuador,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,63.5,,,,,,63.5,,"Statistical Registry of Live Births, years 1990 - 2019",EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,74,,,,,,74,,Bangladesh 2019 SRVS,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,8.1,,,,,,8.1,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2018,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,0.9,,,,,,0.9,,Estimate Human Fertility Database,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,MNE,Montenegro,Year,2018,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,10,,,,,,10,,Registration UNSD & WPP2019,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,POL,Poland,Year,2018,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,10.3,,,,,,10.3,,Registration Eurostat,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,EUR,Europe,Country,CZE,Czechia,Year,2018,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,10.8,,,,,,10.8,,Estimate Human Fertility Database,EN,2021-03-21T22:00:00.000Z
MDG_0000000003,Adolescent birth rate (per 1000 women aged 15-19 years),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2018,true,Age Group,15-19 years,YEARS15-19,,,,,,,,,,102,,,,,,102,,Sierra Leone 2019 Demographic and Health Survey,EN,2021-03-21T22:00:00.000Z
