IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2013-2017,true,,,,,,,,,,,,,17.14,%,,,,,17.14%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2013-2017,true,,,,,,,,,,,,,17.14,%,,,,,17.14%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2013-2017,true,,,,,,,,,,,,,17.14,%,,,,,17.14%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AFR,Africa,Country,COM,Comoros,Year,2013-2017,true,,,,,,,,,,,,,21.43,%,,,,,21.43%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AMR,Americas,Country,GRD,Grenada,Year,2013-2017,true,,,,,,,,,,,,,21.43,%,,,,,21.43%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2013-2017,true,,,,,,,,,,,,,21.43,%,,,,,21.43%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2013-2017,true,,,,,,,,,,,,,22.86,%,,,,,22.86%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2013-2017,true,,,,,,,,,,,,,24.29,%,,,,,24.29%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2013-2017,true,,,,,,,,,,,,,24.29,%,,,,,24.29%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AFR,Africa,Country,GAB,Gabon,Year,2013-2017,true,,,,,,,,,,,,,25.71,%,,,,,25.71%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2013-2017,true,,,,,,,,,,,,,25.71,%,,,,,25.71%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2013-2017,true,,,,,,,,,,,,,25.71,%,,,,,25.71%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2013-2017,true,,,,,,,,,,,,,27.14,%,,,,,27.14%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2013-2017,true,,,,,,,,,,,,,28.57,%,,,,,28.57%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2013-2017,true,,,,,,,,,,,,,28.57,%,,,,,28.57%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,WPR,Western Pacific,Country,FJI,Fiji,Year,2013-2017,true,,,,,,,,,,,,,28.57,%,,,,,28.57%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,EUR,Europe,Country,GRC,Greece,Year,2013-2017,true,,,,,,,,,,,,,28.57,%,,,,,28.57%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2013-2017,true,,,,,,,,,,,,,28.57,%,,,,,28.57%,,,EN,2019-09-05T22:00:00.000Z
UHC_AVAILABILITY_SCORE,Data availability for UHC index of essential service coverage (%),numeric,EUR,Europe,Country,MLT,Malta,Year,2013-2017,true,,,,,,,,,,,,,28.57,%,,,,,28.57%,,,EN,2019-09-05T22:00:00.000Z
