IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2018,true,Residence Area Type,Urban,URB,,,,,,,FPIDN2018,source,,0.49,,,,,,0.49,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2018,true,Residence Area Type,Total,TOTL,,,,,,,FPIDN2018,source,,0.51,,,,,,0.51,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2018,true,Residence Area Type,Rural,RUR,,,,,,,FPIDN2018,source,,0.54,,,,,,0.54,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,AMR,Americas,Country,PER,Peru,Year,2018,true,Residence Area Type,Urban,URB,,,,,,,FPPER2018,source,,1.26,,,,,,1.26,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,AMR,Americas,Country,PER,Peru,Year,2018,true,Residence Area Type,Total,TOTL,,,,,,,FPPER2018,source,,1.27,,,,,,1.27,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,AMR,Americas,Country,PER,Peru,Year,2018,true,Residence Area Type,Rural,RUR,,,,,,,FPPER2018,source,,1.3,,,,,,1.3,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2017,true,Residence Area Type,Rural,RUR,,,,,,,FPTHA2017,source,,0.28,,,,,,0.28,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2017,true,Residence Area Type,Rural,RUR,,,,,,,FPBTN2017,source,,0.39,,,,,,0.39,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2017,true,Residence Area Type,Total,TOTL,,,,,,,FPBTN2017,source,,0.41,,,,,,0.41,,,EN,2019-11-27T22:00:00.000Z
FINPROTECTION_CATA_TOT_25_POP,Population with household expenditures on health greater than 25% of total household expenditure or income  ( SDG indicator 3.8.2) (%),numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2017,true,Residence Area Type,Total,TOTL,,,,,,,FPTHA2017,source,,0.41,,,,,,0.41,,,EN,2019-11-27T22:00:00.000Z
