IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2019,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,,,,,,,,,,,,,0,,,,,,0,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2019,true,,,,,,,,,,,,,10,,,,,,10,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,GEO,Georgia,Year,2019,true,,,,,,,,,,,,,11,,,,,,11,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,GUY,Guyana,Year,2019,true,,,,,,,,,,,,,13,,,,,,13,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2019,true,,,,,,,,,,,,,14,,,,,,14,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,FRA,France,Year,2019,true,,,,,,,,,,,,,24,,,,,,24,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,GTM,Guatemala,Year,2019,true,,,,,,,,,,,,,24,,,,,,24,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2019,true,,,,,,,,,,,,,24,,,,,,24,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2019,true,,,,,,,,,,,,,25,,,,,,25,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,,,,,,,,,,,,,27,,,,,,27,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,BRB,Barbados,Year,2019,true,,,,,,,,,,,,,29,,,,,,29,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,true,,,,,,,,,,,,,31,,,,,,31,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2019,true,,,,,,,,,,,,,38,,,,,,38,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,true,,,,,,,,,,,,,38,,,,,,38,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,COL,Colombia,Year,2019,true,,,,,,,,,,,,,39,,,,,,39,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2019,true,,,,,,,,,,,,,39,,,,,,39,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,USA,United States of America,Year,2019,true,,,,,,,,,,,,,39,,,,,,39,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,true,,,,,,,,,,,,,4,,,,,,4,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,ITA,Italy,Year,2019,true,,,,,,,,,,,,,40,,,,,,40,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2019,true,,,,,,,,,,,,,40,,,,,,40,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,GRD,Grenada,Year,2019,true,,,,,,,,,,,,,41,,,,,,41,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,DEU,Germany,Year,2019,true,,,,,,,,,,,,,43,,,,,,43,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,EST,Estonia,Year,2019,true,,,,,,,,,,,,,45,,,,,,45,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,true,,,,,,,,,,,,,46,,,,,,46,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2019,true,,,,,,,,,,,,,47,,,,,,47,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,,,,,,,,,,,,,49,,,,,,49,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,SMR,San Marino,Year,2019,true,,,,,,,,,,,,,50,,,,,,50,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,ISR,Israel,Year,2019,true,,,,,,,,,,,,,52,,,,,,52,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2019,true,,,,,,,,,,,,,52,,,,,,52,,,EN,2021-03-22T22:00:00.000Z
SDGHPVRECEIVED,Girls aged 15 years old that received the recommended doses of HPV vaccine (%),numeric,EUR,Europe,Country,NLD,Netherlands,Year,2019,true,,,,,,,,,,,,,53,,,,,,53,,,EN,2021-03-22T22:00:00.000Z
