IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2020,true,,,,,,,,,,,,,12,,,,,,12,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2020,true,,,,,,,,,,,,,24,,,,,,24,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,MLI,Mali,Year,2020,true,,,,,,,,,,,,,26,,,,,,26,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2020,true,,,,,,,,,,,,,27,,,,,,27,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2020,true,,,,,,,,,,,,,28,,,,,,28,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2020,true,,,,,,,,,,,,,28,,,,,,28,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,COG,Congo,Year,2020,true,,,,,,,,,,,,,29,,,,,,29,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,LBR,Liberia,Year,2020,true,,,,,,,,,,,,,30,,,,,,30,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,AGO,Angola,Year,2020,true,,,,,,,,,,,,,41,,,,,,41,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,HTI,Haiti,Year,2020,true,,,,,,,,,,,,,41,,,,,,41,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,true,,,,,,,,,,,,,43,,,,,,43,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,BRA,Brazil,Year,2020,true,,,,,,,,,,,,,44,,,,,,44,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,WSM,Samoa,Year,2020,true,,,,,,,,,,,,,44,,,,,,44,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2020,true,,,,,,,,,,,,,46,,,,,,46,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2020,true,,,,,,,,,,,,,46,,,,,,46,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,TGO,Togo,Year,2020,true,,,,,,,,,,,,,46,,,,,,46,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,true,,,,,,,,,,,,,46,,,,,,46,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2020,true,,,,,,,,,,,,,47,,,,,,47,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,true,,,,,,,,,,,,,49,,,,,,49,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,KEN,Kenya,Year,2020,true,,,,,,,,,,,,,49,,,,,,49,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2020,true,,,,,,,,,,,,,50,,,,,,50,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2020,true,,,,,,,,,,,,,51,,,,,,51,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,,,,,,,,,,,,,53,,,,,,53,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2020,true,,,,,,,,,,,,,55,,,,,,55,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2020,true,,,,,,,,,,,,,56,,,,,,56,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,KIR,Kiribati,Year,2020,true,,,,,,,,,,,,,57,,,,,,57,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,true,,,,,,,,,,,,,60,,,,,,60,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,NER,Niger,Year,2020,true,,,,,,,,,,,,,60,,,,,,60,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2020,true,,,,,,,,,,,,,62,,,,,,62,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2020,true,,,,,,,,,,,,,62,,,,,,62,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2020,true,,,,,,,,,,,,,64,,,,,,64,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,BWA,Botswana,Year,2020,true,,,,,,,,,,,,,66,,,,,,66,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,ZMB,Zambia,Year,2020,true,,,,,,,,,,,,,66,,,,,,66,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,,,,,,,,,,,,,67,,,,,,67,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2020,true,,,,,,,,,,,,,67,,,,,,67,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2020,true,,,,,,,,,,,,,68,,,,,,68,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,true,,,,,,,,,,,,,68,,,,,,68,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2020,true,,,,,,,,,,,,,69,,,,,,69,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,SEN,Senegal,Year,2020,true,,,,,,,,,,,,,69,,,,,,69,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2020,true,,,,,,,,,,,,,70,,,,,,70,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2020,true,,,,,,,,,,,,,70,,,,,,70,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2020,true,,,,,,,,,,,,,71,,,,,,71,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2020,true,,,,,,,,,,,,,71,,,,,,71,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2020,true,,,,,,,,,,,,,71,,,,,,71,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,true,,,,,,,,,,,,,72,,,,,,72,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2020,true,,,,,,,,,,,,,72,,,,,,72,,,EN,2021-07-12T22:00:00.000Z
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,true,,,,,,,,,,,,,74,,,,,,74,,,EN,2021-07-12T22:00:00.000Z
