IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,true,,,,,,,,,,,,,21.67,,,,,,21.67,,,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,BDI,Burundi,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,COG,Congo,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,MLI,Mali,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2016,true,,,,,,,,,,,,,0,,,,,,0,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,GHA,Ghana,Year,2016,true,,,,,,,,,,,,,12.5,,,,,,12.5,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
SDGHEALTHFACILITIESESSENTIALMEDS,Proportion of health facilities with a core set of relevant essential medicines available and affordable on a sustainable basis,text,AFR,Africa,Country,GIN,Guinea,Year,2016,true,,,,,,,,,,,,,12.5,,,,,,12.5,,* data from only capital city,EN,2020-04-23T22:00:00.000Z
