replicate,host_size,host_spp,plant,rep
APB1LP1,A,Lp,1,1
APB1LP2,A,Lp,1,2
APB1LP3,A,Lp,1,3
APB2LP1,A,Lp,2,1
APB2LP2,A,Lp,2,2
APB2LP3,A,Lp,2,3
APB3LP1,A,Lp,3,1
APB3LP2,A,Lp,3,2
APB3LP3,A,Lp,3,3
APB4LP1,A,Lp,4,1
APB4LP3,A,Lp,4,3
APB1EM1,A,Em,5,1
APB1EM3,A,Em,5,3
APB2EM1,A,Em,6,1
APB2EM2,A,Em,6,2
APB2EM3,A,Em,6,3
APB3EM1,A,Em,7,1
APB3EM2,A,Em,7,2
APB3EM3,A,Em,7,3
APB4EM1,A,Em,8,1
APB4EM2,A,Em,8,2
APB4EM3,A,Em,8,3
JPB1LP1,J,Lp,9,1
JPB1LP2,J,Lp,9,2
JPB2LP2,J,Lp,10,2
JPB2LP3,J,Lp,10,3
JPB3LP3,J,Lp,11,3
JPB4LP1,J,Lp,12,1
JPB4LP2,J,Lp,12,2
JPB4LP3,J,Lp,12,3
JPB1EM1,J,Em,13,1
JPB1EM2,J,Em,13,2
JPB1EM3,J,Em,13,3
JPB2EM1,J,Em,14,1
JPB2EM2,J,Em,14,2
JPB2EM3,J,Em,14,3
JPB3EM1,J,Em,15,1
JPB3EM2,J,Em,15,2
JPB3EM3,J,Em,15,3
JPB4EM1,J,Em,16,1
JPB4EM2,J,Em,16,2
JPB4EM3,J,Em,16,3
