code,plant,host_size,host_spp,rep,subrep
APB1LP1,1,A,Lp,1,1
APB1LP2,1,A,Lp,1,2
APB1LP3,1,A,Lp,1,3
APB2LP1,2,A,Lp,2,1
APB2LP2,2,A,Lp,2,2
APB2LP3,2,A,Lp,2,3
APB3LP1,3,A,Lp,3,1
APB3LP2,3,A,Lp,3,2
APB3LP3,3,A,Lp,3,3
APB4LP1,4,A,Lp,4,1
APB4LP2,4,A,Lp,4,2
APB4LP3,4,A,Lp,4,3
APB1EM1,5,A,Em,1,1
APB1EM2,5,A,Em,1,2
APB1EM3,5,A,Em,1,3
APB2EM1,6,A,Em,2,1
APB2EM2,6,A,Em,2,2
APB2EM3,6,A,Em,2,3
APB3EM1,7,A,Em,3,1
APB3EM2,7,A,Em,3,2
APB3EM3,7,A,Em,3,3
APB4EM1,8,A,Em,4,1
APB4EM2,8,A,Em,4,2
APB4EM3,8,A,Em,4,3
JPB1LP1,9,J,Lp,1,1
JPB1LP2,9,J,Lp,1,2
JPB1LP3,9,J,Lp,1,3
JPB2LP1,10,J,Lp,2,1
JPB2LP2,10,J,Lp,2,2
JPB2LP3,10,J,Lp,2,3
JPB3LP1,11,J,Lp,3,1
JPB3LP2,11,J,Lp,3,2
JPB3LP3,11,J,Lp,3,3
JPB4LP1,12,J,Lp,4,1
JPB4LP2,12,J,Lp,4,2
JPB4LP3,12,J,Lp,4,3
JPB1EM1,13,J,Em,1,1
JPB1EM2,13,J,Em,1,2
JPB1EM3,13,J,Em,1,3
JPB2EM1,14,J,Em,2,1
JPB2EM2,14,J,Em,2,2
JPB2EM3,14,J,Em,2,3
JPB3EM1,15,J,Em,3,1
JPB3EM2,15,J,Em,3,2
JPB3EM3,15,J,Em,3,3
JPB4EM1,16,J,Em,4,1
JPB4EM2,16,J,Em,4,2
JPB4EM3,16,J,Em,4,3
