"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58"
"1",0,48752.4546593606,100201.821086422,151021.753707189,201379.998607789,252014.322879132,301066.525674307,349316.34307523,399212.695875207,437825.351286627,439993.407353043,465528.103998829,478251.542031967,523487.148183076,570489.846461727,600104.780768857,592105.285861522,610386.219164893,635408.888865233,669301.395216232,700511.063296746,713319.25282764,706578.110386732,716431.367154621,745850.548595994,769442.273071384,768434.368105362,784616.963599796,821993.690348038,847452.841452042,871261.886939876,912298.942508515,954299.351666152,963500.303370597,1005174.59816719,1005776.68115933,1040762.31721533,1078664.43409901,1108512.80557744,1132784.11721263,1158437.45449901,1181742.61850168,1207067.57807512,1231459.97412091,1253311.70878199,1282260.57360625,1313340.8533692,1336493.97597824,1358663.34948463,1381473.41426608,1402284.1319155,1433543.67851402,1470097.25840053,1510613.84749727,1539224.33946776,1558033.73932885,1578592.8839867,1602934.94372363
"2",48752.4546593606,0,51894.0121877069,102638.032617489,152849.895322682,203377.654659259,252346.051608262,300579.515751712,350549.876384026,389525.139375838,392407.763728031,417682.387493711,430540.893706246,475441.671916622,522437.683208348,552343.343540758,544153.59878783,562060.243164188,586933.671585359,620727.880524226,651838.533126903,664567.284460419,657923.461658531,668010.953207669,697756.024786223,721810.17695389,721365.158328619,738268.577852151,776134.377806662,801985.524772937,826507.010259364,868005.405824333,910354.465030514,920384.515915524,962474.057115681,963862.396344688,999553.142181678,1038003.05378276,1068766.03771011,1094118.02133925,1120843.71843768,1145267.15701395,1171742.64627554,1197371.73062607,1220510.30060227,1250582.2167338,1282731.81325278,1307160.13846647,1330675.37945499,1354838.60172725,1376942.58880597,1409374.60449234,1446900.76273414,1488105.5223155,1517854.70005624,1538040.55650451,1559970.28355178,1585605.4245005
"3",100201.821086422,51894.0121877069,0,50822.7126429355,101197.224387192,151914.954266335,201170.563806909,249493.867641648,299118.873439267,337688.007207376,340572.068134343,365795.857342159,378673.895339937,423550.111070457,470547.012212466,500463.778041439,492259.630211107,510238.228697127,535208.876571801,569111.934033003,600411.202457214,613617.630468757,607831.118629527,618776.905317811,649410.257928622,674533.1344969,675264.783444685,693535.036332841,732245.893898616,758754.41773465,784451.657260994,826657.85871526,869519.468537402,880836.15902927,923514.065776422,926082.988620311,962770.733329479,1001970.22206107,1034001.9302632,1060835.41911221,1089001.21156879,1114904.34841508,1142875.79481077,1170091.32598642,1194860.36901091,1226324.15595753,1259779.93687948,1285765.5502634,1310907.95328245,1336688.0824525,1360322.49343191,1394114.52188678,1432748.34973848,1474716.91532229,1505764.9553913,1527524.9264456,1551006.78604735,1578089.60915349
"4",151021.753707189,102638.032617489,50822.7126429355,0,50457.526310149,101284.979052524,150747.003856587,199098.579471791,248431.358569978,286888.751104392,290246.653081312,315247.248827081,328223.309519849,372860.817023734,419849.585795842,449941.179003418,441616.56041844,459430.44948691,484387.276374119,518314.109008891,549693.635048917,563197.255645737,558078.455214786,569758.508516941,601173.443056152,627266.482126261,629111.375014172,648675.745836005,688155.296837879,715266.818023,742072.261945942,784909.950464105,828214.001224042,840765.716448582,883959.704344469,887673.799811992,925282.949827004,965160.226736191,998384.85570051,1026625.75413682,1056157.44894759,1083468.58268654,1112861.49384495,1141588.16933939,1167915.02660047,1200694.9987575,1235381.25325544,1262852.74180753,1289550.77713827,1316876.2148998,1341974.77188574,1377052.5185138,1416721.12653302,1459386.76539333,1491667.79122344,1514940.45174138,1539912.54615885,1568380.77205455
"5",201379.998607789,152849.895322682,101197.224387192,50457.526310149,0,50860.7971956927,100444.593468205,148781.008455664,197973.858983556,236827.872321008,241429.587157551,265901.790230542,279085.766450487,323131.324520946,370081.777454138,400566.394132818,391977.100786598,409294.052797707,434083.953636897,467921.460246991,499241.356864951,512810.251835775,508115.321380429,520378.870269418,552457.927087787,579416.035066415,582305.995176497,603095.122339487,643273.783998913,670939.156607447,698793.206885532,742193.695412774,785876.929420224,799620.633680737,843265.890487547,848097.91484612,886562.971506482,927054.911003937,961408.855280432,990996.949611152,1021834.42981682,1050496.48671426,1081251.62876578,1111430.50478174,1139259.4607997,1173295.2830921,1209151.11699968,1238054.09013708,1266254.13584499,1295071.352165,1321585.02886265,1357890.3615466,1398534.66993664,1441840.96157624,1475304.59449151,1500046.63906986,1526465.16590465,1556273.71950492
"6",252014.322879132,203377.654659259,151914.954266335,101284.979052524,50860.7971956927,0,49687.0929066887,97967.2198775131,147207.203399818,187122.47913786,194059.470114557,217486.610919424,230990.306415851,273912.128612986,320739.258318562,351831.719207778,342826.166308577,359278.450397554,383738.571306323,417372.88777885,448505.480629048,461949.928576893,457512.171658006,470287.281785237,502992.317707675,530799.803163026,534761.692734701,556807.541142359,597667.736835174,625876.90320638,654790.414592594,698719.462310996,742740.93407342,757703.659680426,801759.60147663,807742.796624782,847041.2977347,888114.362070735,923587.342640316,954523.079507323,986662.006450081,1016672.92067737,1048783.89792945,1080409.79961614,1109738.21347413,1145011.85893654,1182014.32037126,1212339.26226741,1242032.81438162,1272331.17533667,1300249.97614428,1337757.29327406,1379343.26600173,1423249.87465369,1457874.7386592,1484077.53034819,1511931.37892485,1543064.24390098
"7",301066.525674307,252346.051608262,201170.563806909,150747.003856587,100444.593468205,49687.0929066887,0,48351.6227868041,98488.2345635961,141066.626207562,152585.729840127,173720.690136263,187660.810026871,228248.948963848,274676.189624235,306695.502900716,297026.645812362,311918.748234454,335713.899555767,368900.078374514,399573.053304714,412469.090423647,407831.737651844,420838.008332001,453970.312527458,482446.934702139,487339.544102641,510512.743129259,551959.522133024,580643.547803513,610518.293973695,654890.710408563,699178.468391783,715274.688325759,759665.656083615,766734.532965636,806776.470456921,848351.784336638,884847.532033,917031.688268971,950375.499287251,981641.181623167,1015012.55413116,1047988.61674162,1078722.15105374,1115142.6641002,1153203.23997999,1184861.15346408,1215958.77165406,1247649.90709697,1276892.25105432,1315516.79539379,1357965.48099332,1402404.49204364,1438115.07356782,1465703.03527656,1494917.24890839,1527301.25863713
"8",349316.34307523,300579.515751712,249493.867641648,199098.579471791,148781.008455664,97967.2198775131,48351.6227868041,0,51424.6213940346,97559.7540967213,115623.554352867,132745.082433478,146962.324055407,183996.778288371,229668.159309956,262567.426183616,252211.762965031,265398.103567113,288500.99988347,321253.591308018,351545.215739575,364128.501503149,359720.785229234,373366.528109949,407282.246784548,436817.66685931,443087.395048248,467803.779237804,509966.715346708,539226.089068226,570286.502008835,615140.367836326,659688.447261852,677149.619499253,721875.080629729,730230.961594101,771085.777031205,813183.985420843,850808.334912102,884371.149285267,919026.380223437,951648.34831639,986365.882625044,1020774.75729717,1052991.39274398,1090597.34680352,1129739.45356758,1162773.84834562,1195314.90237464,1228427.8903103,1259014.89126886,1298752.13066092,1342042.87362679,1386981.02589929,1423768.45773457,1452743.68254606,1483312.1022344,1516931.19276711
"9",399212.695875207,350549.876384026,299118.873439267,248431.358569978,197973.858983556,147207.203399818,98488.2345635961,51424.6213940346,0,48866.7286295721,74853.1678404055,85680.1939259958,99762.399787961,133298.569154436,178505.253427851,211727.046243794,201093.645287313,213988.865006099,237313.007096991,270414.652238553,301299.528341652,315351.247718568,313664.790925557,329871.015175654,365989.453457841,398032.769712851,407278.48318792,434896.102435632,478148.745226289,508287.438008868,541236.623174051,586694.029442844,631495.798025071,651064.124181881,696153.716120936,706436.586313152,748363.854536278,791099.134104191,830235.596184433,865638.08223718,901997.993810342,936355.969346717,972759.101024189,1008936.19322787,1042958.51406984,1081962.03260122,1122356.00868956,1156996.44170196,1191202.32534821,1225931.55436162,1258029.34436321,1298981.6912079,1343166.8655784,1388607.8398891,1426556.00681645,1457035.29618747,1489053.26550694,1523974.82887786
"10",437825.351286627,389525.139375838,337688.007207376,286888.751104392,236827.872321008,187122.47913786,141066.626207562,97559.7540967213,48866.7286295721,0,34403.5882757095,36982.8372476173,50946.8507702878,87182.3229659418,133733.600622629,165670.619359706,155997.368653699,172562.685776559,198057.580018094,232808.045008922,265793.690559548,284073.9073173,288611.600443258,309435.218651603,348758.938615548,384261.623506356,397625.158329471,428756.879327928,472942.193036171,503899.934995558,538859.675684178,584709.021794288,629536.917921007,651405.89164933,696677.990098975,709035.30205999,751936.64921761,795184.290694411,835770.473634541,872948.868802221,910914.208507106,946887.333444425,984825.338836441,1022591.57697082,1058215.77245389,1098415.91535507,1139861.31093059,1175864.81706814,1211465.1159048,1247525.19004634,1280849.3630253,1322757.10683077,1367624.24225977,1413425.9439656,1452272.67978985,1483919.26522131,1517042.84097238,1552938.83311755
